,id,proper,ra,dec,spect,hip,hd,hr,gl,bf,con,mag,dist,lum,rasc,dist_ly
42,40921,Avior,8.375236,-59.509483,K3III+B2V,41037,71129,3307,,Eps Car,Car,1.86,185.5288,5405.053537,125.62854,605.1133129
43,28288,Menkalinan,5.992149,44.947433,A2V,28360,40183,2088,NN 3375,34Bet Aur,Aur,1.9,24.8694,93.58365436,89.882235,81.11304026
44,82022,Atria,16.811077,-69.027715,K2IIb-IIIa,82273,150798,6217,,Alp TrA,TrA,1.91,119.7605,2151.79057,252.166155,390.6060564
45,31601,Alhena,6.628528,16.399252,A0IV,31681,47105,2421,,24Gam Gem,Gem,1.93,33.5121,165.3484012,99.42792,109.3017249
46,42794,,8.745059,-54.708821,A1V,42913,74956,3485,Gl 321.3A,Del Vel,Vel,1.93,24.6975,89.78421709,131.175885,80.5523781
47,100425,Peacock,20.427459,-56.73509,B2IV,100751,193924,7790,,Alp Pav,Pav,1.94,54.8246,438.5306978,306.411885,178.8137224
48,11734,Polaris,2.52975,89.264109,F7:Ib-IIv SB,11767,8890,424,,1Alp UMi,UMi,1.97,132.626,2495.743795,37.94625,432.5676566
49,30251,Mirzam,6.378329,-17.955918,B1II/III,30324,44743,2294,,2Bet CMa,CMa,1.98,151.0574,3209.223768,95.674935,492.6827735
50,46259,Alphard,9.45979,-8.658603,K3III,46390,81797,3748,,30Alp Hya,Hya,1.99,55.2792,425.7944536,141.89685,180.2964276
51,9861,Hamal,2.119555,23.462423,K2III,9884,12929,617,Gl 84.3,13Alp Ari,Ari,2.01,20.1776,55.66727982,31.793325,65.81045306
52,50440,Algieba,10.332873,19.841489,K0III,50583,89484,4057,,41Gam1Leo,Leo,2.01,39.8883,217.5704951,154.993095,130.0980837
53,3413,Diphda,0.72649,-17.986605,K0III,3419,4128,188,Gl 31,16Bet Cet,Cet,2.04,29.5334,116.091387,10.89735,96.3249561
54,92564,Nunki,18.92109,-26.296722,B2.5V,92855,175191,7121,,34Sig Sgr,Sgr,2.05,69.8324,642.6877173,283.81635,227.7625625
55,68714,Menkent,14.111395,-36.369954,K0IIIb,68933,123139,5288,Gl 539,5The Cen,Cen,2.06,18.0343,42.46195639,211.670925,58.81995151
56,5436,Mirach,1.162194,35.620558,M0IIIvar,5447,6860,337,Gl 53.3,43Bet And,And,2.07,60.5327,474.2419853,17.43291,197.431033
57,676,Alpheratz,0.139791,29.090432,B9p,677,358,15,,21Alp And,And,2.07,29.7442,114.4985535,2.096865,97.01249295
58,111768,,22.711115,-46.884577,M5III,112122,214952,8636,,Bet Gru,Gru,2.07,54.2594,380.8903765,340.666725,176.9702887
59,27298,Saiph,5.795941,-9.669605,B0.5Iavar,27366,38771,2004,,53Kap Ori,Ori,2.07,198.4127,5095.654806,86.939115,647.1349258
60,72380,Kochab,14.845105,74.155505,K4IIIvar,72607,131873,5563,,7Bet UMi,UMi,2.07,40.1445,208.5451048,222.676575,130.9336954
61,85769,Rasalhague,17.582241,12.560035,A5III,86032,159561,6556,Gl 681,55Alp Oph,Oph,2.08,14.8965,28.44461107,263.733615,48.58582854
62,14540,Algol,3.136148,40.955648,B8V,14576,19356,936,,26Bet Per,Per,2.09,27.571,96.56060985,47.04222,89.92447076
63,9618,Almaak,2.064984,42.329725,B8V,9640,12533,603,,57Gam1And,And,2.1,120.4819,1828.100216,30.97476,392.9589458
64,57459,Denebola,11.817663,14.57206,A3Vvar,57632,102647,4534,Gl 448,94Bet Leo,Leo,2.14,10.9999,14.68249968,177.264945,35.87683384
65,4417,Cih,0.945143,60.71674,B0IV:evar,4427,5394,264,,27Gam Cas,Cas,2.15,168.3502,3407.218617,14.177145,549.0842783
66,61739,,12.691971,-48.959888,A1IV,61932,110304,4819,,Gam Cen,Cen,2.2,39.9042,182.8100216,190.379565,130.1499426
67,45425,Tureis,9.284838,-59.275229,A8Ib,45556,80404,3699,,Iot Car,Car,2.21,234.7418,6269.024975,139.27257,765.6244652
68,39318,Naos,8.059737,-40.003148,O5IAf,39429,66811,3165,,Zet Pup,Pup,2.21,332.2259,12554.51674,120.896055,1083.574706
69,76035,Alphekka,15.578128,26.714693,A0V,76267,139006,5793,,5Alp CrB,CrB,2.22,23.0097,59.70352866,233.67192,75.04751713
70,100128,Sadr,20.370473,40.256679,F8Ib,100453,194093,7796,,37Gam Cyg,Cyg,2.23,561.7978,35253.31812,305.557095,1832.337233
71,44689,,9.133268,-43.432589,K4Ib-II,44816,78647,3634,,Lam Vel,Vel,2.23,166.9449,3113.149665,136.99902,544.500808
72,65173,Mizar,13.398747,54.925362,A2V,65378,116656,5054,NN 3783A,79Zet UMa,UMa,2.23,26.3089,77.3392578,200.981205,85.80805588
73,3172,Shedir,0.675116,56.537331,K0II-IIIvar,3179,3712,168,,18Alp Cas,Cas,2.24,69.979,542.0008904,10.12674,228.2407072
74,87561,Etamin,17.943437,51.488895,K5III,87833,164058,6705,,33Gam Dra,Dra,2.24,47.3037,247.5141318,269.151555,154.2838558
75,25865,Mintaka,5.533445,-0.299092,O9.5II,25930,36486,1852,,34Del Ori,Ori,2.25,212.3142,4943.10687,83.001675,692.4755022
76,744,Caph,0.152887,59.14978,F2III-IV,746,432,21,Gl 8,11Bet Cas,Cas,2.28,16.7842,30.06076303,2.293305,54.74267535
77,78165,Dschubba,16.005557,-22.62171,B0.2IV,78401,143275,5953,,7Del Sco,Sco,2.29,150.6024,2396.624529,240.083355,491.1987637
78,66447,,13.664796,-53.466394,B1III,66657,118716,5132,,Eps Cen,Cen,2.29,131.0616,1814.679779,204.97194,427.4652721
79,82144,,16.83608,-34.293232,K2IIIb,82396,151680,6241,,26Eps Sco,Sco,2.29,19.5351,40.3273793,252.5412,63.71490076
80,71634,,14.698823,-47.3882,B1.5III,71860,129056,5469,,Alp Lup,Lup,2.3,142.4501,2124.222477,220.482345,464.6095482
81,71125,,14.591786,-42.157824,B1Vn + A,71352,127972,5440,,Eta Cen,Cen,2.33,93.7207,894.5404838,218.87679,305.6756863
82,53754,Merak,11.030677,56.382427,A1V,53910,95418,4295,Wo 9343,48Bet UMa,UMa,2.34,24.4499,60.31148196,165.460155,79.74481584
83,71879,Izar,14.749784,27.074222,A0,72105,129988,5505,,36Eps Boo,Boo,2.35,62.1118,385.8335599,221.24676,202.5813624
84,106972,Enif,21.736433,9.875011,K2Ibvar,107315,206778,8308,,8Eps Peg,Peg,2.38,211.4165,4349.106072,326.046495,689.5475997
85,86403,,17.708132,-39.029983,B1.5III,86670,160578,6580,,Kap Sco,Sco,2.39,148.1481,2114.462562,265.62198,483.193917
86,2076,Ankaa,0.438056,-42.305981,K0III...,2081,2261,99,,Alp Phe,Phe,2.4,25.974,64.44659847,6.57084,84.71575944
87,57828,Phad,11.897168,53.69476,A0V SB,58001,103287,4554,,64Gam UMa,UMa,2.41,25.5037,61.54602374,178.45752,83.18184777
88,83755,,17.172968,-15.72491,A2.5Va,84012,155125,6378,Gl 656.1A,35Eta Oph,Oph,2.43,27.0929,68.17105263,257.59452,88.36511892
89,113521,Scheat,23.062901,28.082789,M2II-IIIvar,113881,217906,8775,,53Bet Peg,Peg,2.44,60.0962,332.3533036,345.943515,196.0073621
90,35806,Aludra,7.401584,-29.303104,B5Ia,35904,58350,2827,,31Eta CMa,CMa,2.45,609.7561,33915.63869,111.02376,1988.756106
91,104861,Alderamin,21.30963,62.585573,A7IV-V,105199,203280,8162,Gl 826,5Alp Cep,Cep,2.45,15.0376,20.62528698,319.64445,49.04603466
92,45809,,9.368562,-55.010668,B2IV,45941,81188,3734,,Kap Vel,Vel,2.47,175.4386,2756.76661,140.52843,572.2035202
93,102157,Gienah,20.770178,33.970256,K0III,102488,197989,7949,Gl 806.1A,53Eps Cyg,Cyg,2.48,22.2916,44.09608165,311.55267,72.7053909
94,113603,Markab,23.079348,15.205264,B9.5III,113963,218045,8781,,54Alp Peg,Peg,2.49,40.8831,146.9602899,346.19022,133.3426836
95,81130,,16.619316,-10.56709,O9.5V,81377,149757,6175,,13Zet Oph,Oph,2.54,112.2334,1057.791322,249.28974,366.0559681
96,14100,Menkar,3.037992,4.089734,M2III,14135,18884,911,,92Alp Cet,Cet,2.54,76.3942,489.7788194,45.56988,249.164267
97,67786,,13.925667,-47.288375,B2.5IV,68002,121263,5231,,Zet Cen,Cen,2.55,117.096,1140.775013,208.885005,381.9156298
98,78580,Graffias,16.09062,-19.805453,B0.5V,78820,144217,5984,,8Bet1Sco,Sco,2.56,123.9157,1265.901749,241.3593,404.1584905
99,54712,Zosma,11.235138,20.523717,A4V,54872,97603,4357,Gl 419,68Del Leo,Leo,2.56,17.9147,26.44843627,168.52707,58.42986893
100,59016,,12.13931,-50.722425,B2IVne,59196,105435,4621,,Del Cen,Cen,2.58,127.2265,1309.784962,182.08965,414.9568633
101,59621,Gienah Ghurab,12.263437,-17.541929,B8III,59803,106625,4662,,4Gam Crv,Crv,2.58,47.1032,179.4733627,183.951555,153.629913
102,25920,Arneb,5.545504,-17.822289,F0Ib,25985,36673,1865,,11Alp Lep,Lep,2.58,680.2721,37428.29122,83.18256,2218.74827
103,93213,,19.043532,-29.880105,A3IV,93506,176687,7194,,38Zet Sgr,Sgr,2.6,27.0416,58.07644175,285.65298,88.1978009
104,74556,Zubeneschemali,15.283449,-9.382917,B8V,74785,135742,5685,,27Bet Lib,Lib,2.61,56.7537,253.512863,229.251735,185.1055978
